Joint,Visible Mean,Occluded Mean,Mean Diff,Correlation,Cohen's d,Abs Corr
arm_right_7_joint,-0.4360007729831557,-1.0705808109696004,-0.6345800379864448,-0.49694842289484475,-1.3277277826918685,0.49694842289484475
arm_right_6_joint,-0.21248089706835202,0.5966932412140151,0.8091741382823672,0.4775657672475926,1.1416654967328375,0.4775657672475926
arm_right_4_joint,-1.5742131125489451,-2.038622142638746,-0.4644090300898007,-0.44577734260701707,-1.2321154239943608,0.44577734260701707
arm_right_1_joint,-3.3678144549705378,-3.469781485181223,-0.1019670302106852,-0.3244144439540722,-0.7390825706441038,0.3244144439540722
torso_lift_joint,-0.0004696709861851359,-0.0005081540782433043,-3.848309205816845e-05,-0.308640567871505,-0.5685448409278567,0.308640567871505
arm_right_2_joint,-1.6205311391541533,-1.834372905273954,-0.21384176611980066,-0.2812898701419749,-0.895103643034561,0.2812898701419749
arm_right_5_joint,-0.11450907347381456,-0.25691996605873285,-0.1424108925849183,-0.254451895320038,-0.6812106677586668,0.254451895320038
gripper_right_finger_joint,0.05990792596730658,0.054213941462656845,-0.005693984504649738,-0.23322589159429769,-0.5435235857474386,0.23322589159429769
gripper_right_finger_right_joint,0.013183379094719635,0.011927652845616572,-0.0012557262491030632,-0.23221734467847763,-0.537551699269233,0.23221734467847763
gripper_right_outer_finger_left_joint,-0.47116129718513583,-0.4297129138161641,0.04144838336897172,0.20703512339656724,0.500830752182793,0.20703512339656724
gripper_right_inner_finger_left_joint,-0.5089539211973009,-0.4630542639625211,0.04589965723477979,0.2063801070607228,0.4999497958372507,0.2063801070607228
gripper_right_fingertip_left_joint,0.5701967912400685,0.5124558629470523,-0.05774092829301625,-0.20438096006250106,-0.49769884950235577,0.20438096006250106
gripper_right_outer_finger_right_joint,-0.4804910909081923,-0.44793088765610733,0.032560203252084974,0.15197407650655576,0.3752401104038895,0.15197407650655576
gripper_right_inner_finger_right_joint,-0.5132949510093139,-0.4777882671608796,0.035506683848434306,0.14941728596800746,0.3706906200051234,0.14941728596800746
arm_right_3_joint,0.6721781314160806,0.6007164332003128,-0.07146169821576787,-0.14357932820416358,-0.3889739274332041,0.14357932820416358
gripper_right_fingertip_right_joint,0.5700007570678578,0.5255919879363086,-0.04440876913154923,-0.14317927328683985,-0.3601138311254067,0.14317927328683985
